rule_id,contract,instrument,exchange,effective_from,effective_to,trade_type,fee_per_lot,fee_rate,fee_rate_unit,source_type,source_url,announcement_date,is_proxy,notes
FEE-000052,AL2207.SHF,AL,SHFE,2022-05-26,2022-06-24,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000056,AL2208.SHF,AL,SHFE,2022-06-27,2022-07-26,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000057,AL2208.SHF,AL,SHFE,2022-06-27,2022-07-26,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000055,AL2208.SHF,AL,SHFE,2022-06-27,2022-07-26,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000059,AL2209.SHF,AL,SHFE,2022-07-27,2022-08-26,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000060,AL2209.SHF,AL,SHFE,2022-07-27,2022-08-26,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000058,AL2209.SHF,AL,SHFE,2022-07-27,2022-08-26,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000062,AL2210.SHF,AL,SHFE,2022-08-29,2022-09-27,close_non_today,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
FEE-000063,AL2210.SHF,AL,SHFE,2022-08-29,2022-09-27,close_today,3.0,0.0,成交金额比例（Tushare原值/1000）,proxy_same_as_open,https://tushare.pro/document/2?doc_id=141,,True,offset_today_fee字段为空；代理为同期普通交易费。
FEE-000061,AL2210.SHF,AL,SHFE,2022-08-29,2022-09-27,open,3.0,0.0,成交金额比例（Tushare原值/1000）,tushare_historical,https://tushare.pro/document/2?doc_id=141,,False,Tushare逐真实合约每日结算参数；开仓与非日内平仓采用同一交易费。
