date,instrument,contract,reason,qty,open,high,low,settle,hypothetical_fill,first_day_pnl,five_day_pnl
2019-12-30,P,P2005.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,1,6326.0,6326.0,6270.0,6298.0,6330.0,-320.0,-2940.0
2020-01-10,AL,AL2002.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-341,14075.0,14185.0,14070.0,14135.0,14070.0,-110825.0,93775.0
2020-02-10,T,T2003.CFX,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,5,101.3,101.3,101.045,101.09,101.30499999999999,-10749.99999999946,-13749.999999999574
2020-02-17,SR,SR2005.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-2,5669.0,5806.0,5669.0,5761.0,5667.0,-1880.0,-2240.0
2020-03-02,SP,SP2005.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-54,4462.0,4526.0,4462.0,4504.0,4458.0,-24840.0,-64800.0
2020-03-23,AL,AL2005.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,7,11700.0,11700.0,11275.0,11375.0,11705.0,-11550.0,40950.0
2020-03-23,FG,FG2005.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,82,1319.0,1319.0,1284.0,1300.0,1321.0,-34440.0,50840.0
2020-03-30,AL,AL2005.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,71,11720.0,11720.0,11495.0,11560.0,11725.0,-58575.0,-124250.0
2020-04-01,FG,FG2009.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,380,1297.0,1297.0,1273.0,1287.0,1299.0,-91200.0,266000.0
2020-04-20,CF,CF2009.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-8,11300.0,11545.0,11300.0,11435.0,11290.0,-5800.0,-8000.0
2020-05-06,AL,AL2007.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-266,12400.0,12615.0,12400.0,12560.0,12395.0,-219450.0,232750.0
2020-07-27,FG,FG2009.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-3,1659.0,1705.0,1659.0,1683.0,1657.0,-1560.0,1200.0
2020-07-29,AL,AL2008.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-223,14515.0,14755.0,14515.0,14655.0,14510.0,-161675.0,133800.0
2020-07-30,AL,AL2008.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-223,14655.0,15000.0,14655.0,14890.0,14650.0,-267600.0,317775.0
2020-08-03,MA,MA2009.ZCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,332,1728.0,1728.0,1681.0,1702.0,1730.0,-92960.0,16600.0
2020-09-29,AL,AL2010.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-266,14300.0,14460.0,14295.0,14395.0,14295.0,-133000.0,-392350.0
2020-12-02,C,C2105.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,700,2689.0,2689.0,2651.0,2665.0,2691.0,-182000.0,-364000.0
2021-02-01,C,C2105.DCE,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-64,2714.0,2778.0,2714.0,2753.0,2712.0,-26240.0,-49280.0
2021-02-09,SP,SP2103.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-104,6662.0,6798.0,6660.0,6722.0,6658.0,-66560.0,-24960.0
2021-02-10,SP,SP2103.SHF,PROXY_SLIPPAGE_OUTSIDE_DAILY_RANGE,-104,6724.0,6874.0,6722.0,6788.0,6720.0,-70720.0,156000.0
