date,util,kind,scenario
2024-03-07,0.9401134982617849,comm,S1_fb1p5
2024-03-08,0.9368417660100218,comm,S1_fb1p5
2024-03-11,0.9620417080001011,comm,S1_fb1p5
2024-03-12,0.9757370035647264,comm,S1_fb1p5
2024-03-13,0.9723665126931272,comm,S1_fb1p5
2024-03-14,0.9524322717760062,comm,S1_fb1p5
2024-03-15,0.9342207988208284,comm,S1_fb1p5
2024-03-18,0.9509644783577204,comm,S1_fb1p5
2024-03-19,0.9663144193918142,comm,S1_fb1p5
2024-03-20,0.9901626711441758,comm,S1_fb1p5
2024-03-21,0.9630130735121044,comm,S1_fb1p5
2024-03-22,0.9796341141586057,comm,S1_fb1p5
2024-03-25,0.9739361263671468,comm,S1_fb1p5
2024-03-26,0.9517138655368784,comm,S1_fb1p5
2024-03-27,0.9395805555135225,comm,S1_fb1p5
2024-03-28,0.9276631736656987,comm,S1_fb1p5
2024-03-29,0.9027750973960612,comm,S1_fb1p5
2024-04-01,0.9639444429003103,comm,S1_fb1p5
2024-04-02,0.9753759513283433,comm,S1_fb1p5
2024-04-03,0.961935428123698,comm,S1_fb1p5
2024-04-08,0.9643843023722288,comm,S1_fb1p5
2024-04-09,0.9834883855683154,comm,S1_fb1p5
2024-04-10,0.9807523988136425,comm,S1_fb1p5
2024-04-11,0.9691270323595861,comm,S1_fb1p5
2024-04-12,0.9633931223473731,comm,S1_fb1p5
2024-04-15,0.9549782804803432,comm,S1_fb1p5
2024-04-16,0.9782003917536605,comm,S1_fb1p5
2024-04-17,0.9841446258022101,comm,S1_fb1p5
2024-04-18,0.9971827333571258,comm,S1_fb1p5
2024-04-19,0.9734517767742923,comm,S1_fb1p5
2024-04-22,0.8663515731814847,comm,S1_fb1p5
2024-04-23,0.8642013566807981,comm,S1_fb1p5
2024-04-24,0.8893405073795665,comm,S1_fb1p5
2024-04-25,0.8793582813727587,comm,S1_fb1p5
2024-04-26,0.8917334240816986,comm,S1_fb1p5
2024-04-29,0.8330623098970799,comm,S1_fb1p5
2024-04-30,0.8227201123407681,comm,S1_fb1p5
2024-05-06,0.9654089451688633,comm,S1_fb1p5
2024-05-07,0.9582539305810088,comm,S1_fb1p5
2024-05-08,0.9630522044358891,comm,S1_fb1p5
2024-05-09,0.9523010406211527,comm,S1_fb1p5
2024-05-10,0.9470918024849024,comm,S1_fb1p5
2024-05-13,0.7966382475109546,comm,S1_fb1p5
2024-05-14,0.790850478013017,comm,S1_fb1p5
2024-05-15,0.7952311820879719,comm,S1_fb1p5
2024-05-16,0.7971792874707594,comm,S1_fb1p5
2024-05-17,0.8073232796197561,comm,S1_fb1p5
2024-05-20,0.9250139220248447,comm,S1_fb1p5
2024-05-21,0.9219836476594327,comm,S1_fb1p5
2024-05-22,0.9117225738775593,comm,S1_fb1p5
2024-05-23,0.9354595887287241,comm,S1_fb1p5
2024-05-24,0.941228233780509,comm,S1_fb1p5
2024-05-27,0.9454448475472076,comm,S1_fb1p5
2024-05-28,0.9398493574514989,comm,S1_fb1p5
2024-05-29,0.9498376334129494,comm,S1_fb1p5
2024-05-30,0.9249558511529313,comm,S1_fb1p5
2024-05-31,0.9414654108794789,comm,S1_fb1p5
2024-06-03,0.7508933067569029,comm,S1_fb1p5
2024-06-04,0.7386087546496961,comm,S1_fb1p5
2024-06-05,0.7330862947453527,comm,S1_fb1p5
2024-06-06,0.7358207918239981,comm,S1_fb1p5
2024-06-07,0.7355498125467811,comm,S1_fb1p5
2024-06-11,0.9408779747550431,comm,S1_fb1p5
2024-06-12,0.9455282662881501,comm,S1_fb1p5
2024-06-13,0.9366389062287126,comm,S1_fb1p5
2024-06-14,0.9313064468034677,comm,S1_fb1p5
2024-06-17,0.8905447778114467,comm,S1_fb1p5
2024-06-18,0.8626619318189688,comm,S1_fb1p5
2024-06-19,0.8591174989412105,comm,S1_fb1p5
2024-06-20,0.8485456267770641,comm,S1_fb1p5
2024-06-21,0.845812200043094,comm,S1_fb1p5
2024-07-08,0.7242791007681412,comm,S1_fb1p5
2024-07-09,0.7103216308772078,comm,S1_fb1p5
2024-07-10,0.7071543512168127,comm,S1_fb1p5
2024-07-11,0.7145313018523284,comm,S1_fb1p5
2024-07-12,0.7159962174291573,comm,S1_fb1p5
2024-07-22,0.7556295665872667,comm,S1_fb1p5
2024-07-23,0.7362741848538708,comm,S1_fb1p5
2024-07-24,0.7255588674135587,comm,S1_fb1p5
2024-07-25,0.7080636033322019,comm,S1_fb1p5
2024-07-26,0.7121919596493621,comm,S1_fb1p5
2024-07-29,0.6801875260322915,comm,S1_fb1p5
2024-07-30,0.6683295575071572,comm,S1_fb1p5
2024-07-31,0.6552293918395704,comm,S1_fb1p5
2024-08-01,0.6580072221917053,comm,S1_fb1p5
2024-08-02,0.6512468961849908,comm,S1_fb1p5
2024-08-05,0.664733210571757,comm,S1_fb1p5
2024-08-06,0.6615042513853062,comm,S1_fb1p5
2024-08-08,0.6599326505999943,comm,S1_fb1p5
2024-08-09,0.6797226947245055,comm,S1_fb1p5
2024-08-12,0.6825768416557156,comm,S1_fb1p5
2024-08-13,0.6571383287781465,comm,S1_fb1p5
2024-08-19,0.6631148726460369,comm,S1_fb1p5
2024-08-20,0.6775309128792463,comm,S1_fb1p5
2024-08-21,0.6949237587759384,comm,S1_fb1p5
2024-08-22,0.6842707243895912,comm,S1_fb1p5
2024-08-23,0.662801979787053,comm,S1_fb1p5
2024-08-26,0.6863707652153158,comm,S1_fb1p5
2024-08-27,0.7101671346348384,comm,S1_fb1p5
2024-08-28,0.7044113871690789,comm,S1_fb1p5
2024-08-29,0.7049911301999026,comm,S1_fb1p5
2024-08-30,0.7050606674408194,comm,S1_fb1p5
2024-09-02,0.9468952494808249,comm,S1_fb1p5
2024-09-03,0.9217589525526221,comm,S1_fb1p5
2024-09-04,0.9128883404801228,comm,S1_fb1p5
2024-09-05,0.9084217421692814,comm,S1_fb1p5
2024-09-06,0.8884932085894092,comm,S1_fb1p5
2024-09-09,0.9590981443558881,comm,S1_fb1p5
2024-09-10,0.9597240194655898,comm,S1_fb1p5
2024-09-11,0.9566651742273398,comm,S1_fb1p5
2024-09-12,0.9681327463616529,comm,S1_fb1p5
2024-09-13,0.9618193383844127,comm,S1_fb1p5
2024-09-18,0.9522300189572913,comm,S1_fb1p5
2024-09-19,0.9581237277708462,comm,S1_fb1p5
2024-09-20,0.9688732719514447,comm,S1_fb1p5
2024-09-23,0.9654346505833676,comm,S1_fb1p5
2024-09-24,0.9823082947397088,comm,S1_fb1p5
2024-09-25,0.9789939931393481,comm,S1_fb1p5
2024-09-26,0.9768657750894164,comm,S1_fb1p5
2024-09-27,1.0290583300654141,comm,S1_fb1p5
2024-09-30,1.0050592270066525,comm,S1_fb1p5
2024-10-21,0.6776318681174367,comm,S1_fb1p5
2024-10-22,0.6770850548054408,comm,S1_fb1p5
2024-10-23,0.675105826102871,comm,S1_fb1p5
2024-10-24,0.6787186077149232,comm,S1_fb1p5
2024-10-25,0.6819261772584887,comm,S1_fb1p5
2024-10-28,0.7424392761369922,comm,S1_fb1p5
2024-10-29,0.7506566821009915,comm,S1_fb1p5
2024-10-30,0.7522747781785809,comm,S1_fb1p5
2024-10-31,0.7534499071789359,comm,S1_fb1p5
2024-11-01,0.7449514470425481,comm,S1_fb1p5
2024-11-04,0.6513752310766354,comm,S1_fb1p5
2024-11-14,0.6513046390336293,comm,S1_fb1p5
2024-11-18,0.7911902002268761,comm,S1_fb1p5
